volume,min,max,volumeQuote,close,open,timestamp
35.0,1.250,1.300,44.6000,1.300,1.250,2018-01-17T12:30:00.000Z
187.2,1.006,1.700,270.9463,1.006,1.699,2018-01-17T13:00:00.000Z
74.9,1.018,1.061,78.3047,1.018,1.061,2018-01-17T14:00:00.000Z
156.6,0.980,1.006,156.0231,0.995,1.006,2018-01-17T14:30:00.000Z
427.1,1.022,1.100,464.8276,1.080,1.022,2018-01-17T15:00:00.000Z
527.2,1.011,1.290,576.2037,1.027,1.100,2018-01-17T15:30:00.000Z
1064.3,0.992,1.200,1120.9800,1.200,1.043,2018-01-17T16:30:00.000Z
7.4,1.289,1.290,9.5450,1.290,1.289,2018-01-17T17:00:00.000Z
22.1,1.200,1.200,26.5200,1.200,1.200,2018-01-17T19:00:00.000Z
5.0,1.300,1.300,6.5000,1.300,1.300,2018-01-17T20:00:00.000Z
13.7,1.238,1.300,17.6706,1.238,1.300,2018-01-17T20:30:00.000Z
10.0,1.207,1.207,12.0700,1.207,1.207,2018-01-17T21:00:00.000Z
5.8,1.500,1.606,8.7848,1.500,1.606,2018-01-17T21:30:00.000Z
252.2,1.509,1.791,382.7098,1.512,1.509,2018-01-17T22:00:00.000Z
5.2,1.400,1.649,7.3277,1.628,1.400,2018-01-17T22:30:00.000Z
1048.5,1.303,1.785,1370.7279,1.584,1.311,2018-01-18T00:00:00.000Z
0.1,1.713,1.713,0.1713,1.713,1.713,2018-01-18T00:30:00.000Z
716.4,1.713,1.713,1227.1932,1.713,1.713,2018-01-18T01:00:00.000Z
28.5,1.742,1.742,49.6470,1.742,1.742,2018-01-18T01:30:00.000Z
10.0,1.733,1.733,17.3300,1.733,1.733,2018-01-18T03:00:00.000Z
1100.0,1.500,1.580,1706.0000,1.500,1.580,2018-01-18T03:30:00.000Z
3.2,1.401,1.401,4.4832,1.401,1.401,2018-01-18T04:00:00.000Z
22.1,1.401,1.401,30.9621,1.401,1.401,2018-01-18T04:30:00.000Z
3.7,1.400,1.400,5.1800,1.400,1.400,2018-01-18T05:00:00.000Z
1.0,1.540,1.540,1.5400,1.540,1.540,2018-01-18T05:30:00.000Z
16.8,1.400,1.400,23.5200,1.400,1.400,2018-01-18T07:30:00.000Z
50.3,1.375,1.422,69.8054,1.422,1.382,2018-01-18T08:00:00.000Z
156.6,1.401,1.422,220.3292,1.422,1.401,2018-01-18T08:30:00.000Z
364.0,1.394,1.500,514.0744,1.500,1.423,2018-01-18T09:00:00.000Z
75.0,1.393,1.393,104.4750,1.393,1.393,2018-01-18T10:00:00.000Z
21.3,1.500,1.598,32.8154,1.598,1.500,2018-01-18T11:30:00.000Z
264.5,1.408,1.597,390.9267,1.412,1.597,2018-01-18T12:00:00.000Z
20.2,1.556,1.556,31.4312,1.556,1.556,2018-01-18T12:30:00.000Z
0.3,1.434,1.434,0.4302,1.434,1.434,2018-01-18T14:00:00.000Z
188.6,1.554,1.789,312.1991,1.789,1.554,2018-01-18T14:30:00.000Z
0.1,1.509,1.509,0.1509,1.509,1.509,2018-01-18T15:00:00.000Z
162.6,1.511,1.900,291.9047,1.894,1.511,2018-01-18T16:30:00.000Z
2.5,1.602,1.602,4.0050,1.602,1.602,2018-01-18T17:00:00.000Z
48.2,1.580,1.627,77.2934,1.580,1.627,2018-01-18T17:30:00.000Z
0.8,1.501,1.501,1.2008,1.501,1.501,2018-01-18T18:00:00.000Z
162.5,1.520,1.520,247.0000,1.520,1.520,2018-01-18T20:00:00.000Z
30.3,1.514,1.520,45.8949,1.515,1.520,2018-01-18T22:00:00.000Z
54.7,1.515,1.520,83.0735,1.520,1.515,2018-01-18T22:30:00.000Z
60.0,1.500,1.500,90.0000,1.500,1.500,2018-01-18T23:00:00.000Z
20.6,1.561,1.561,32.1566,1.561,1.561,2018-01-19T01:00:00.000Z
1.0,1.562,1.562,1.5620,1.562,1.562,2018-01-19T01:30:00.000Z
49.0,1.302,1.564,70.5851,1.302,1.564,2018-01-19T02:30:00.000Z
2.2,1.573,1.597,3.4630,1.573,1.597,2018-01-19T03:00:00.000Z
30.9,1.333,1.334,41.2129,1.333,1.334,2018-01-19T05:00:00.000Z
194.9,1.577,1.591,307.8297,1.578,1.590,2018-01-19T05:30:00.000Z
1.2,1.659,1.659,1.9908,1.659,1.659,2018-01-19T07:30:00.000Z
8.3,1.649,1.649,13.6867,1.649,1.649,2018-01-19T08:30:00.000Z
60.0,1.659,1.659,99.5400,1.659,1.659,2018-01-19T09:00:00.000Z
224.6,1.429,1.998,409.4931,1.686,1.694,2018-01-19T09:30:00.000Z
0.3,1.828,1.828,0.5484,1.828,1.828,2018-01-19T10:30:00.000Z
35.4,1.697,1.698,60.1038,1.697,1.698,2018-01-19T11:00:00.000Z
14.5,1.584,1.771,23.1669,1.601,1.771,2018-01-19T11:30:00.000Z
63.7,1.895,1.997,123.4909,1.941,1.895,2018-01-19T13:00:00.000Z
491.6,1.940,1.999,955.5349,1.999,1.941,2018-01-19T13:30:00.000Z
40.1,1.990,2.100,80.6990,1.990,2.000,2018-01-19T14:00:00.000Z
700.5,1.881,2.187,1373.8672,1.881,2.187,2018-01-19T14:30:00.000Z
8.9,1.893,1.902,16.9125,1.902,1.893,2018-01-19T15:00:00.000Z
47.9,1.812,1.900,88.9748,1.900,1.812,2018-01-19T15:30:00.000Z
1.0,2.196,2.196,2.1960,2.196,2.196,2018-01-19T16:00:00.000Z
282.8,2.044,2.196,611.6391,2.196,2.044,2018-01-19T16:30:00.000Z
502.4,1.810,2.051,944.8740,2.051,1.899,2018-01-19T17:00:00.000Z
103.2,1.789,1.856,191.3516,1.789,1.856,2018-01-19T17:30:00.000Z
28.4,1.787,1.788,50.7731,1.787,1.788,2018-01-19T18:00:00.000Z
